track_id,n_frames,mean_mu_CV,mean_mu_CA,mu_flips,cv_dominant,needs_CT
67,33,0.608,0.392,2,True,False
71,9,0.609,0.391,0,True,False
72,136,0.58,0.42,10,False,False
73,100,0.553,0.447,8,False,False
74,46,0.593,0.407,2,False,False
75,118,0.609,0.391,2,True,False
76,59,0.612,0.388,0,True,False
77,68,0.605,0.395,0,True,False
78,57,0.593,0.407,2,False,False
79,56,0.615,0.385,0,True,False
80,21,0.537,0.463,2,False,False
81,57,0.603,0.397,0,True,False
82,100,0.618,0.382,0,True,False
83,67,0.615,0.385,0,True,False
84,4,0.648,0.352,0,True,False
86,84,0.616,0.384,0,True,False
88,84,0.614,0.386,0,True,False
89,80,0.612,0.388,0,True,False
90,11,0.482,0.518,4,False,True
91,33,0.554,0.446,2,False,False
92,17,0.492,0.508,4,False,False
93,62,0.617,0.383,0,True,False
94,30,0.547,0.453,2,False,False
95,77,0.617,0.383,0,True,False
96,71,0.614,0.386,0,True,False
97,63,0.615,0.385,0,True,False
98,1,0.7,0.3,0,True,False
99,12,0.463,0.537,3,False,False
100,183,0.612,0.388,4,True,False
101,30,0.481,0.519,6,False,False
103,99,0.616,0.384,0,True,False
104,9,0.615,0.385,0,True,False
105,44,0.498,0.502,9,False,False
106,126,0.615,0.385,0,True,False
110,5,0.397,0.603,1,False,False
112,93,0.596,0.404,5,False,False
113,10,0.595,0.405,2,False,False
114,37,0.52,0.48,8,False,False
116,31,0.564,0.436,2,False,False
117,8,0.647,0.353,0,True,False
118,103,0.616,0.384,2,True,False
119,32,0.572,0.428,2,False,False
